codigo_projeto;projeto;anexo; valor_projeto 
9288130;Recuperação de rodovias pavimentadas em pior estado, conforme avaliação técnica do DER-MG / conclusão de corredor logístico estruturante, conforme critérios técnicos da Seinfra / melhoria da infraestrutura dos municípios;III; 450.000.000,00 
9288130;Melhoria da infraestrutura dos municípios;IV; 1.107.550.000,00 
9288132;Construção de pontes em São Francisco, Manga e São Romão sobre o Rio São Francisco;III; 300.000.000,00 
9288133;Recuperação de rodovias pavimentadas em pior estado, conforme avaliação técnica do DER-MG/conclusão de corredor logístico estruturante, conforme critérios técnicos da SEINFRA;III; 700.000.000,00 
9288134;Realização de obras rodoviárias - Caeté - Barão de Cocais e Contorno de Barão de Cocais;IV; 98.860.000,00 
9288135;Implantação do Sistema de Informações Regulatórias da ARSAE-MG;IV; 1.345.000,00 
9288136;Reestruturação dos Hospitais da Rede FHEMIG (Hospital Infantil João Paulo II, Hospital João XXIII e Hospital Júlia Kubitschek);IV; 111.480.000,00 
9288137;Ampliação da rede de rádio digital no interior do Estado de Minas Gerais;IV; 100.000.000,00 
9288138;Proteção policial individual e do cidadão mineiro;IV; 39.614.000,00 
9288139;Atualização do Plano Diretor de Desenvolvimento Integrado da Região Metropolitana de Belo Horizonte - PDDI-RMBH;IV; 3.200.000,00 
9288141;Georreferenciamento de bens culturais protegidos;IV; 500.000,00 
9288142;Fortalecimento da estrutura e dos processos do Instituto Mineiro de Agropecuária;IV; 29.712.000,00 
9288143;Implantação da Ouvidoria 4.0 e Ouvidoria Móvel;IV; 728.000,00 
9288144;Construção do Núcleo Integrado de Perícias da Polícia Civil de Minas Gerais;IV; 49.000.000,00 
9288145;Projeto ABIS - Sistema Automatizado de Identificação Biométrica;IV; 45.345.000,00 
9288147;Convivência com a Seca - Construção de cisternas;IV; 14.817.323,00 
9288148;Fortalecimento do atendimento à saúde militar;IV; 3.000.000,00 
9288149;Revitalização do Parque de Exposições Bolivar de Andrade;IV; 5.000.000,00 
9288150;Segurança Rural e de Áreas de Risco;IV; 10.671.300,00 
9288152;Fortalecimento da competitividade turística de Minas Gerais;IV; 15.130.000,00 
9288153;Pesquisas, Tendências e Monitoramento da Cultura e do Turismo;IV; 3.000.000,00 
9288154;Plano de Desenvolvimento Integrado do Turismo em Minas Gerais;IV; 650.000,00 
9288155;Fortalecimento e reestruturação tecnológica da Controladoria Geral do Estado;IV; 5.100.000,00 
9288167;Reestruturação das Tecnologias de Informação do CBMMG;IV; 3.773.400,00 
9288168;Expansão e fortalecimento da Academia do Corpo de Bombeiros Militar;IV; 130.000.000,00 
9288169;Execução de obras e serviços de engenharia em várias unidades do CBMMG;IV; 43.368.482,00 
9288176;Reestruturação logística, tecnológica e de cobrança da dívida ativa da AGE;IV; 23.131.467,96 
9288177;Melhoria da infraestrutura dos municípios - Outros repasses;IV; 100.370.000,00 
9288178;Prevenção de Enchentes - Construção de Bacias de Contenção no Córrego Ferrugem;IV; 253.000.000,00 
9288179;Prevenção de Enchentes - Desapropriação para construção de bacias de contenção no Córrego Riacho das Pedras.;IV; 45.000.000,00 
9288180;Implantação do Rodoanel da Região Metropolitana de Belo Horizonte;III; 3.072.030.000,00 
9288181;Reintegração social e humanização do sistema prisional;IV; 75.352.000,00 
9288182;Ampliação de postos de abastecimento próprios do Estado;IV; 7.000.000,00 
